16165	10	19081
15554	10	21231
15110	10	19393
2036	16	19081
23738	18	19513
39994	23	21583
58204	33	42833
36462	25	19081
32936	19	19081
24575	18	18061
23738	19	19533
2050	15	19081
14893	12	19171
29955	21	19522
23738	19	19533
15554	12	21231
2050	15	19081
23738	19	19533
1708	13	19081
34956	17	17547
7020	15	19513
1275	13	20560
14220	10	17814
10266	10	17806
14220	10	16568
14220	10	17106
10773	10	17806
14220	10	18854
26939	29	58748
12325	10	17806
14220	10	20459
45610	28	40444
16188	10	20633
395	8	41171
53542	19	20023
14220	10	16648
1211	10	17806
391	4	31761
14220	12	19553
14220	10	19811
15189	0	32936
30071	24	19081
30071	24	19081
30108	19	19081
24020	32	30108
30108	19	19081
30108	19	19081
38087	18	18143
352	8	34450
30108	19	19081
30108	19	19081
7923	8	34597
30108	19	19081
41166	17	16809
30108	19	19081
30108	19	19081
30108	19	19081
1837	10	20072
15209	10	19081
30108	19	19081
34723	29	49240
10885	10	16858
50851	22	21365
15209	4	43719
50223	35	56275
1275	3	24142
205	15	16701
24918	35	29025
10885	10	19243
21915	27	47072
10885	10	18867
714	16	20250
10885	10	19188
15792	16	20892
10885	10	17201
35620	33	45119
15262	13	18790
26685	33	59851
10885	10	16780
10885	10	19750
14612	10	19081
1120	10	16879
12852	10	16879
14219	10	16879
59108	25	19081
2512	9	36523
1275	10	16879
1275	13	21744
229	15	19081
40510	19	19513
14361	10	17063
43241	17	21416
1211	10	16879
40730	18	19081
1275	13	19552
36276	26	21766
42914	22	18881
1275	10	19690
15554	13	21482
14337	10	16879
50725	24	19814
2482	6	29069
14420	10	18669
1275	13	21744
31761	26	19609
46562	33	49405
11001	10	16533
15189	3	41486
25051	35	28043
50213	19	18102
49064	17	18556
1788	11	20784
34490	31	55297
127	6	41486
14308	10	16533
14976	15	20226
28277	17	21504
371	15	19513
41486	25	17730
41486	20	20936
7633	14	21542
50494	33	50725
55958	29	57328
14424	10	16877
10005	10	17164
23738	21	18918
1275	13	19279
1176	10	17263
1211	10	17996
37292	22	20322
15750	14	19083
1861	10	17996
16165	10	19081
40184	17	17328
14598	12	20692
11542	10	17996
15209	10	17996
35435	17	16842
14960	10	17996
59108	25	21063
1788	3	34412
2603	16	18757
14475	10	16568
1275	3	34412
1275	3	34412
38620	18	19036
803	16	19304
32936	22	19304
24259	17	20598
803	16	19304
1093	10	18757
10240	10	18757
1275	3	34412
395	11	18991
13395	10	18757
16221	11	18991
156	12	19513
1147	10	18650
35029	22	21744
395	11	18991
14344	10	16543
14344	10	17304
14344	11	20784
14344	10	20228
391	2	32936
1159	10	17962
7619	0	53542
14344	10	16953
205	15	21059
3439	6	36487
22638	25	19531
13492	10	17962
14344	10	17720
10460	10	17325
10084	10	17962
14344	10	17136
1145	10	17131
22426	33	40289
28277	22	19081
1275	10	19378
21929	18	17571
15805	4	21929
156	12	19513
14909	10	16664
46562	22	20686
32351	19	20226
14909	10	17852
156	12	19513
14909	10	17720
14902	12	19513
156	12	19513
14909	10	17494
10617	10	16945
32069	19	21341
14612	10	19553
2597	15	19513
14909	10	18451
10137	10	17526
1275	14	18805
32903	35	43662
15041	10	16870
14797	10	17126
15041	10	16478
41659	17	19854
51503	33	53641
15041	10	17257
30425	24	21063
11589	10	17172
12366	10	17172
22228	31	34597
31105	25	17623
10080	10	17172
10347	10	17172
32936	22	21395
32936	22	21395
11196	10	17172
15041	10	17165
42962	24	21436
128	10	17172
1275	14	19827
10201	10	20041
32099	17	17309
11849	10	19357
14611	15	19878
1783	10	17440
1275	10	21372
1275	10	17345
1079	10	20041
23588	21	20936
59637	22	21365
15590	10	17881
1342	10	20041
156	10	21372
10080	10	17696
1211	0	21976
22228	31	28290
10552	10	21372
36025	17	17629
15013	15	21063
50153	18	19728
10963	10	16782
10602	10	17347
23588	21	20936
1275	15	18451
15317	16	19081
15436	10	16953
15436	14	21432
59662	21	19081
41659	21	19081
2050	15	19081
1280	7	30075
15317	16	19081
15436	6	50725
15436	10	16786
28316	28	47072
14257	15	19081
15436	10	18641
41659	21	19081
58370	33	58414
12255	10	17347
30108	19	19081
32936	19	19081
32936	19	19081
32936	19	19081
32936	19	19081
32936	19	19081
32936	19	19081
15639	11	21542
32936	19	19081
32936	19	19081
32936	19	19081
27956	17	20654
32936	19	19081
32936	19	19081
14788	13	21365
32936	19	19081
33912	21	19518
41659	21	19081
32936	19	19081
30071	24	19081
14300	10	19171
10459	10	18080
8969	10	20633
10004	10	18080
1260	10	18003
1211	10	18080
28277	17	18738
1628	0	59426
14893	10	19171
15429	10	18080
